=== Raster scan debug log ===
Starting buildLayoutRasterScan, N=20
---- New attempt: shape=4x5, seedId=0, seedRot=0 deg
Cell (0,1): left=0, top=-1
  candidate piece=1, rot=0, score=2323920.302857
  candidate piece=1, rot=90, score=3988253.185228
  candidate piece=1, rot=180, score=3093028.311295
  candidate piece=1, rot=270, score=1447475.159984
  candidate piece=2, rot=0, score=530890.250579
  candidate piece=2, rot=90, score=709877.829784
  candidate piece=2, rot=180, score=2231161.609713
  candidate piece=2, rot=270, score=583958.648755
  candidate piece=3, rot=0, score=1765556.800375
  candidate piece=3, rot=90, score=2688760.413235
  candidate piece=3, rot=180, score=2432781.376148
  candidate piece=3, rot=270, score=1459439.122516
  candidate piece=4, rot=0, score=472849.460714
  candidate piece=4, rot=90, score=1183569.359116
  candidate piece=4, rot=180, score=933649.889326
  candidate piece=4, rot=270, score=768656.413847
  candidate piece=5, rot=0, score=483249.020162
  candidate piece=5, rot=90, score=992382.914057
  candidate piece=5, rot=180, score=595388.446725
  candidate piece=5, rot=270, score=621293.197262
  candidate piece=6, rot=0, score=520053.924012
  candidate piece=6, rot=90, score=546415.190549
  candidate piece=6, rot=180, score=515277.124904
  candidate piece=6, rot=270, score=401949.505665
  candidate piece=7, rot=0, score=2659417.845618
  candidate piece=7, rot=90, score=757810.088056
  candidate piece=7, rot=180, score=1464858.851408
  candidate piece=7, rot=270, score=731646.220703
  candidate piece=8, rot=0, score=588799.306440
  candidate piece=8, rot=90, score=772725.336950
  candidate piece=8, rot=180, score=745290.111770
  candidate piece=8, rot=270, score=861231.758445
  candidate piece=9, rot=0, score=708545.351360
  candidate piece=9, rot=90, score=2190298.788533
  candidate piece=9, rot=180, score=875460.732398
  candidate piece=9, rot=270, score=562455.822772
  candidate piece=10, rot=0, score=3215837.441040
  candidate piece=10, rot=90, score=2940049.084176
  candidate piece=10, rot=180, score=2238826.283504
  candidate piece=10, rot=270, score=2482387.335056
  candidate piece=11, rot=0, score=314423.549376
  candidate piece=11, rot=90, score=658303.627686
  candidate piece=11, rot=180, score=621394.971657
  candidate piece=11, rot=270, score=759238.097713
  candidate piece=12, rot=0, score=817851.097927
  candidate piece=12, rot=90, score=1514643.108683
  candidate piece=12, rot=180, score=531608.634401
  candidate piece=12, rot=270, score=595963.725461
  candidate piece=13, rot=0, score=842630.038491
  candidate piece=13, rot=90, score=458771.898940
  candidate piece=13, rot=180, score=871096.442264
  candidate piece=13, rot=270, score=826255.141661
  candidate piece=14, rot=0, score=2969687.773097
  candidate piece=14, rot=90, score=3295860.876724
  candidate piece=14, rot=180, score=1279685.024034
  candidate piece=14, rot=270, score=1261548.258090
  candidate piece=15, rot=0, score=552422.899558
  candidate piece=15, rot=90, score=1345905.681579
  candidate piece=15, rot=180, score=487152.774880
  candidate piece=15, rot=270, score=613337.869000
  candidate piece=16, rot=0, score=1731210.588412
  candidate piece=16, rot=90, score=415586.651018
  candidate piece=16, rot=180, score=648774.868665
  candidate piece=16, rot=270, score=1360291.004976
  candidate piece=17, rot=0, score=2393322.250809
  candidate piece=17, rot=90, score=2973506.964358
  candidate piece=17, rot=180, score=3031471.467582
  candidate piece=17, rot=270, score=1312416.648858
  candidate piece=18, rot=0, score=515263.090844
  candidate piece=18, rot=90, score=281313.616178
  candidate piece=18, rot=180, score=503002.083864
  candidate piece=18, rot=270, score=974991.743995
  candidate piece=19, rot=0, score=200323.234645
  candidate piece=19, rot=90, score=530906.980079
  candidate piece=19, rot=180, score=649053.154661
  candidate piece=19, rot=270, score=261175.647618
  -> chosen piece=19, rot=0, bestScore=200323.234645
Cell (0,2): left=19, top=-1
  candidate piece=1, rot=0, score=2417008.139522
  candidate piece=1, rot=90, score=4414705.009270
  candidate piece=1, rot=180, score=3497681.886592
  candidate piece=1, rot=270, score=1415186.382662
  candidate piece=2, rot=0, score=711222.361456
  candidate piece=2, rot=90, score=544193.199103
  candidate piece=2, rot=180, score=2731706.335535
  candidate piece=2, rot=270, score=989143.964638
  candidate piece=3, rot=0, score=1965268.077561
  candidate piece=3, rot=90, score=2635983.372122
  candidate piece=3, rot=180, score=2561397.695640
  candidate piece=3, rot=270, score=1620449.982519
  candidate piece=4, rot=0, score=423402.974082
  candidate piece=4, rot=90, score=1265778.521437
  candidate piece=4, rot=180, score=948470.523353
  candidate piece=4, rot=270, score=514261.023755
  candidate piece=5, rot=0, score=341717.993795
  candidate piece=5, rot=90, score=834293.691831
  candidate piece=5, rot=180, score=172996.733072
  candidate piece=5, rot=270, score=185401.380659
  candidate piece=6, rot=0, score=1187178.819616
  candidate piece=6, rot=90, score=842184.630601
  candidate piece=6, rot=180, score=536538.010675
  candidate piece=6, rot=270, score=823432.304673
  candidate piece=7, rot=0, score=3147845.086775
  candidate piece=7, rot=90, score=935736.681869
  candidate piece=7, rot=180, score=2003088.635057
  candidate piece=7, rot=270, score=918551.685843
  candidate piece=8, rot=0, score=665374.857907
  candidate piece=8, rot=90, score=442063.230516
  candidate piece=8, rot=180, score=583677.799793
  candidate piece=8, rot=270, score=693137.197692
  candidate piece=9, rot=0, score=846915.234728
  candidate piece=9, rot=90, score=2362861.215593
  candidate piece=9, rot=180, score=1201765.116026
  candidate piece=9, rot=270, score=892105.804068
  candidate piece=10, rot=0, score=3594567.488602
  candidate piece=10, rot=90, score=3262575.609035
  candidate piece=10, rot=180, score=2300991.852461
  candidate piece=10, rot=270, score=2635862.889792
  candidate piece=11, rot=0, score=439379.540118
  candidate piece=11, rot=90, score=304781.530774
  candidate piece=11, rot=180, score=710196.725532
  candidate piece=11, rot=270, score=1109869.722974
  candidate piece=12, rot=0, score=1106601.928533
  candidate piece=12, rot=90, score=1533044.276301
  candidate piece=12, rot=180, score=372100.888352
  candidate piece=12, rot=270, score=771559.338059
  candidate piece=13, rot=0, score=588186.723415
  candidate piece=13, rot=90, score=740480.566171
  candidate piece=13, rot=180, score=892780.653518
  candidate piece=13, rot=270, score=975450.396013
  candidate piece=14, rot=0, score=3026058.290611
  candidate piece=14, rot=90, score=3343583.363745
  candidate piece=14, rot=180, score=986337.138218
  candidate piece=14, rot=270, score=1051309.643366
  candidate piece=15, rot=0, score=352935.834164
  candidate piece=15, rot=90, score=1354667.970943
  candidate piece=15, rot=180, score=583358.799706
  candidate piece=15, rot=270, score=447659.567507
  candidate piece=16, rot=0, score=2274448.782482
  candidate piece=16, rot=90, score=668846.116647
  candidate piece=16, rot=180, score=868550.766812
  candidate piece=16, rot=270, score=2012188.750995
  candidate piece=17, rot=0, score=2232575.621395
  candidate piece=17, rot=90, score=2956510.755306
  candidate piece=17, rot=180, score=3157920.578513
  candidate piece=17, rot=270, score=1280058.673954
  candidate piece=18, rot=0, score=999025.014266
  candidate piece=18, rot=90, score=652296.445417
  candidate piece=18, rot=180, score=772669.260358
  candidate piece=18, rot=270, score=1265247.545296
  -> chosen piece=5, rot=180, bestScore=172996.733072
Cell (0,3): left=5, top=-1
  candidate piece=1, rot=0, score=2415873.103064
  candidate piece=1, rot=90, score=4446232.324646
  candidate piece=1, rot=180, score=3497717.746389
  candidate piece=1, rot=270, score=1579027.681318
  candidate piece=2, rot=0, score=638424.128357
  candidate piece=2, rot=90, score=532663.587240
  candidate piece=2, rot=180, score=2874051.463717
  candidate piece=2, rot=270, score=866476.517591
  candidate piece=3, rot=0, score=2135478.892094
  candidate piece=3, rot=90, score=2788289.254313
  candidate piece=3, rot=180, score=2630059.444013
  candidate piece=3, rot=270, score=1626095.366945
  candidate piece=4, rot=0, score=447074.122774
  candidate piece=4, rot=90, score=1256929.578994
  candidate piece=4, rot=180, score=822577.499706
  candidate piece=4, rot=270, score=420915.233222
  candidate piece=6, rot=0, score=1035173.447955
  candidate piece=6, rot=90, score=651559.461733
  candidate piece=6, rot=180, score=486433.322475
  candidate piece=6, rot=270, score=500152.080542
  candidate piece=7, rot=0, score=3348312.784250
  candidate piece=7, rot=90, score=900496.771496
  candidate piece=7, rot=180, score=1800126.918608
  candidate piece=7, rot=270, score=975833.583555
  candidate piece=8, rot=0, score=456160.639341
  candidate piece=8, rot=90, score=462780.871781
  candidate piece=8, rot=180, score=506292.725629
  candidate piece=8, rot=270, score=471695.882756
  candidate piece=9, rot=0, score=648200.212374
  candidate piece=9, rot=90, score=2534478.743200
  candidate piece=9, rot=180, score=1119028.926160
  candidate piece=9, rot=270, score=724390.196970
  candidate piece=10, rot=0, score=3623628.553558
  candidate piece=10, rot=90, score=3340220.291654
  candidate piece=10, rot=180, score=2522309.917616
  candidate piece=10, rot=270, score=2903377.017227
  candidate piece=11, rot=0, score=283025.084647
  candidate piece=11, rot=90, score=323120.253071
  candidate piece=11, rot=180, score=473631.855550
  candidate piece=11, rot=270, score=734513.994318
  candidate piece=12, rot=0, score=1030850.084698
  candidate piece=12, rot=90, score=1630470.179279
  candidate piece=12, rot=180, score=227726.861578
  candidate piece=12, rot=270, score=618076.274560
  candidate piece=13, rot=0, score=573828.004615
  candidate piece=13, rot=90, score=588886.431505
  candidate piece=13, rot=180, score=819402.534749
  candidate piece=13, rot=270, score=978786.441966
  candidate piece=14, rot=0, score=3198810.410422
  candidate piece=14, rot=90, score=3503632.589764
  candidate piece=14, rot=180, score=1276095.794450
  candidate piece=14, rot=270, score=1214199.157629
  candidate piece=15, rot=0, score=465614.234313
  candidate piece=15, rot=90, score=1463064.049174
  candidate piece=15, rot=180, score=488938.897969
  candidate piece=15, rot=270, score=461630.005971
  candidate piece=16, rot=0, score=2105300.580683
  candidate piece=16, rot=90, score=404955.548906
  candidate piece=16, rot=180, score=648940.383920
  candidate piece=16, rot=270, score=1728426.249712
  candidate piece=17, rot=0, score=2463388.463409
  candidate piece=17, rot=90, score=3165169.350930
  candidate piece=17, rot=180, score=3372500.625152
  candidate piece=17, rot=270, score=1345983.041546
  candidate piece=18, rot=0, score=737310.698317
